id;disaster_type;disaster_subtype;event_name;country;subregion;location;origin;magnitude;magnitude_scale;latitude;longitude;start_year;start_month;start_day;end_year;end_month;end_day;total_deaths;total_injured;total_homeless;total_affected;total_damage;summary;quote;sound_url;image_url
1980-9363-PNG;Drought;Drought;;Papua New Guinea;Melanesia;Enga, Western highlands, Southern higlands;;;Km2;;;1980;10;;1981;;;;;;40000;;On 1980, drought occurred in Enga, Western highlands, Southern higlands, Papua New Guinea, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1981-0024-FJI;Storm;Tropical cyclone;Arthur;Fiji;Melanesia;Yasawas, Mamanuca;;;Kph;;;1981;1;15;1981;1;15;;;;4700;;On January 15, 1981, storm occurred in Yasawas, Mamanuca, Fiji, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1981-0029-VUT;Storm;Tropical cyclone;Cliff;Vanuatu;Melanesia;;;;Kph;;;1981;2;11;1981;2;11;;;;;;On February 11, 1981, storm occurred in an unspecified location, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1981-0030-NCL;Storm;Tropical cyclone;Cliff;New Caledonia;Melanesia;Houailou (Grande Terre);;;Kph;;;1981;2;11;1981;2;11;1;;;2000;;On February 11, 1981, storm occurred in Houailou (Grande Terre), New Caledonia, within the Melanesia subregion. It resulted in 1 deaths.;;;
1981-0032-COK;Storm;Tropical cyclone;Daman;Cook Islands;Polynesia;Aitutaki;;;Kph;;;1981;2;21;1981;2;21;;;;;;On February 21, 1981, storm occurred in Aitutaki, Cook Islands, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1981-0037-NCL;Storm;Tropical cyclone;Freda;New Caledonia;Melanesia;Belep;;;Kph;;;1981;3;5;1981;3;5;;;;;;On March 5, 1981, storm occurred in Belep, New Caledonia, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1981-0109-VUT;Storm;Tropical cyclone;Gyan;Vanuatu;Melanesia;Northern Isl., West Santo;;;Kph;;;1981;12;12;1981;12;12;;;;;3450;On December 12, 1981, storm occurred in Northern Isl., West Santo, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1981-0111-NCL;Storm;Tropical cyclone;Gyan;New Caledonia;Melanesia;;;;Kph;;;1981;12;23;1981;12;23;3;;;;690;On December 23, 1981, storm occurred in an unspecified location, New Caledonia, within the Melanesia subregion. It resulted in 3 deaths.;;;
1982-0034-TON;Storm;Tropical cyclone;Isaac;Tonga;Polynesia;Nationwide;;;Kph;;;1982;3;3;1982;3;3;6;12;46500;146512;68914;On March 3, 1982, storm occurred in Nationwide, Tonga, within the Polynesia subregion. It resulted in 6 deaths, and 12 injuries, and 46500 people left homeless.;;;
1982-0044-SLB;Storm;Tropical cyclone;Bernie;Solomon Islands;Melanesia;;;;Kph;;;1982;4;;1982;4;;;;;30000;;On 1982, storm occurred in an unspecified location, Solomon Islands, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1982-0065-TON;Storm;Storm (General);;Tonga;Polynesia;Tongatapu;;;Kph;;;1982;5;30;1982;5;30;1;2;;2;3576;On May 30, 1982, storm occurred in Tongatapu, Tonga, within the Polynesia subregion. It resulted in 1 deaths, and 2 injuries.;;;
1983-0043-PYF;Storm;Tropical cyclone;Orama;French Polynesia;Polynesia;Tuomoto;;;Kph;;;1983;2;;1983;2;;6;;;;50392;On 1983, storm occurred in Tuomoto, French Polynesia, within the Polynesia subregion. It resulted in 6 deaths.;;;
1983-0047-FJI;Storm;Tropical cyclone;Oscar;Fiji;Melanesia;Kadavu, Ono, Suva, Viti Levu, Yasawa, Naviti, Vatulele, Bega;;180;Kph;;;1983;3;1;1983;3;1;9;14;;200014;157474;On March 1, 1983, a magnitude 180 Kph storm occurred in Kadavu, Ono, Suva, Viti Levu, Yasawa, Naviti, Vatulele, Bega, Fiji, within the Melanesia subregion. It resulted in 9 deaths, and 14 injuries.;;;
1983-0057-FJI;Storm;Tropical cyclone;Sarah;Fiji;Melanesia;Southern Lau group;;;Kph;;;1983;3;25;1983;3;25;;;;11132;2680;On March 25, 1983, storm occurred in Southern Lau group, Fiji, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1983-0071-PYF;Storm;Tropical cyclone;Veena;French Polynesia;Polynesia;Moorea/Tetisura;;;Kph;;;1983;4;14;1983;4;14;1;50;;5050;66139;On April 14, 1983, storm occurred in Moorea/Tetisura, French Polynesia, within the Polynesia subregion. It resulted in 1 deaths, and 50 injuries.;;;
1983-0113-WSM;Wildfire;Forest fire;;Samoa;Polynesia;Northwest Savaii Isl.;;;Km2;;;1983;9;;1983;9;;;;;1000;99681;On 1983, wildfire occurred in Northwest Savaii Isl., Samoa, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1983-0116-PNG;Flood;Flood (General);;Papua New Guinea;Melanesia;Lae (Morobe province);;;Km2;;;1983;9;;1983;9;;11;;;13000;37479;On 1983, flood occurred in Lae (Morobe province), Papua New Guinea, within the Melanesia subregion. It resulted in 11 deaths.;;;
1983-0132-PNG;Volcanic activity;Ash fall;Rabaul;Papua New Guinea;Melanesia;;;;;-4.271;152.203;1983;10;15;1983;10;15;;;;25000;;On October 15, 1983, volcanic activity occurred in an unspecified location, Papua New Guinea, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1983-0162-PNG;Earthquake;Ground movement;;Papua New Guinea;Melanesia;Ulawun, Rabaul;;6.4;Moment Magnitude;5.392;151.868;1983;12;22;1983;12;22;10;;;;78737;On December 22, 1983, a magnitude 6.4 Moment Magnitude earthquake occurred in Ulawun, Rabaul, Papua New Guinea, within the Melanesia subregion. It resulted in 10 deaths.;;;
1983-0441-PNG;Flood;Flood (General);;Papua New Guinea;Melanesia;Jimi River region (West Highlands);;;Km2;;;1983;3;6;1983;3;6;45;;;;;On March 6, 1983, flood occurred in Jimi River region (West Highlands), Papua New Guinea, within the Melanesia subregion. It resulted in 45 deaths.;;;
1983-0484-WSM;Storm;Storm (General);;Samoa;Polynesia;North West;;;Kph;;;1983;7;;1983;7;;;;;1000;99524;On 1983, storm occurred in North West, Samoa, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1983-9018-FJI;Drought;Drought;;Fiji;Melanesia;Western division;;;Km2;;;1983;;;1983;;;;;;31000;94485;On 1983, drought occurred in Western division, Fiji, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1984-0123-TUV;Storm;Storm (General);;Tuvalu;Polynesia;Funafuti;;;Kph;;;1984;12;26;1984;12;26;;;;;;On December 26, 1984, storm occurred in Funafuti, Tuvalu, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1985-0020-VUT;Storm;Tropical cyclone;Eric & Nigel;Vanuatu;Melanesia;;;;Kph;;;1985;1;16;1985;1;16;9;;;117500;504507;On January 16, 1985, storm occurred in an unspecified location, Vanuatu, within the Melanesia subregion. It resulted in 9 deaths.;;;
